,version_count,total_gross
637,7.0,119436770.0
638,6.0,115654751.0
639,7.0,114197520.0
640,6.0,114053579.0
641,6.0,113086868.0
642,4.0,111549836.0
643,5.0,110230332.0
644,7.0,110101975.0
645,6.0,108248956.0
646,2.0,105263257.0
647,6.0,104636382.0
648,8.0,104400899.0
649,4.0,103738726.0
650,7.0,101648571.0
651,6.0,101117573.0
652,26.0,100138851.0
653,14.0,99967670.0
654,3.0,99112101.0
655,2.0,97822171.0
656,5.0,97403112.0
657,12.0,95860116.0
658,4.0,95170481.0
659,5.0,95011339.0
660,6.0,94514402.0
661,1.0,92977226.0
662,9.0,91387195.0
663,9.0,90759676.0
664,5.0,90648202.0
665,3.0,90559416.0
666,38.0,90288712.0
667,5.0,89707299.0
668,5.0,89325780.0
669,12.0,89302687.0
671,5.0,88631237.0
672,9.0,88036683.0
673,8.0,85468508.0
674,6.0,85336277.0
675,9.0,84919401.0
676,2.0,84500122.0
677,12.0,84355863.0
678,7.0,84056472.0
680,8.0,82569971.0
681,6.0,82272442.0
682,9.0,81612565.0
683,5.0,81172560.0
684,14.0,81057016.0
685,11.0,79884879.0
686,9.0,79576189.0
687,21.0,78222753.0
689,3.0,75847266.0
690,6.0,75383563.0
691,5.0,74541707.0
692,5.0,74339294.0
693,18.0,73741048.0
694,13.0,73078100.0
695,2.0,71624879.0
698,15.0,69821334.0
700,11.0,68856263.0
701,6.0,67406573.0
702,6.0,67303450.0
703,2.0,67172594.0
704,5.0,66957026.0
705,15.0,66954149.0
706,11.0,66596803.0
707,5.0,66308518.0
708,5.0,66023816.0
709,13.0,65673233.0
710,1.0,65538755.0
711,11.0,65328121.0
713,1.0,64378093.0
714,28.0,64038616.0
715,4.0,63946815.0
716,8.0,63707829.0
717,10.0,62950384.0
718,4.0,62134225.0
719,6.0,60883407.0
721,3.0,60786269.0
722,4.0,60476872.0
723,5.0,59927618.0
724,5.0,59713955.0
726,5.0,58662452.0
727,11.0,58620973.0
728,1.0,58331254.0
729,4.0,58223861.0
730,8.0,58017783.0
731,8.0,57806952.0
732,13.0,57319029.0
733,9.0,57272727.0
734,10.0,57041866.0
735,7.0,56937502.0
736,4.0,56709981.0
737,18.0,56505065.0
738,15.0,55100437.0
739,5.0,55011732.0
740,10.0,54240821.0
741,4.0,54234062.0
742,2.0,53898845.0
744,6.0,53208180.0
745,3.0,53089891.0
746,5.0,52864741.0
747,4.0,52802140.0
748,6.0,52364010.0
749,14.0,52293982.0
750,1.0,51882244.0
751,8.0,51854875.0
752,4.0,51264000.0
753,17.0,51183113.0
754,6.0,51088705.0
755,5.0,51085416.0
756,10.0,50866635.0
757,3.0,50752337.0
758,5.0,50632037.0
759,9.0,50236831.0
760,8.0,50047179.0
761,7.0,50030461.0
762,11.0,50021959.0
765,5.0,48430258.0
766,1.0,48169156.0
767,6.0,48102795.0
768,5.0,47901582.0
769,2.0,47642963.0
770,6.0,46704056.0
771,2.0,46666502.0
773,4.0,45610425.0
774,7.0,45610410.0
775,5.0,45554533.0
776,5.0,45512588.0
777,13.0,45500797.0
778,18.0,44645619.0
779,5.0,44480039.0
780,8.0,44277350.0
781,1.0,43760605.0
782,4.0,43610723.0
783,5.0,43577636.0
784,18.0,43229904.0
785,5.0,43061982.0
786,1.0,42850000.0
787,6.0,42734455.0
788,7.0,42647449.0
790,9.0,42400223.0
791,5.0,41833324.0
793,6.0,40693477.0
794,8.0,40586886.0
795,5.0,40356000.0
796,8.0,40150487.0
797,4.0,39900000.0
798,5.0,39799191.0
799,14.0,39514713.0
800,11.0,39100956.0
802,6.0,38577772.0
803,3.0,38229000.0
804,9.0,38178166.0
805,6.0,38176783.0
806,3.0,38120905.0
807,6.0,37486512.0
808,9.0,37384046.0
809,5.0,37047880.0
810,6.0,36853000.0
811,6.0,36850101.0
812,13.0,36733909.0
813,3.0,36706141.0
815,10.0,36448400.0
816,9.0,36359037.0
817,12.0,35841901.0
818,8.0,35348597.0
819,4.0,35081594.0
820,4.0,34793160.0
821,14.0,34693481.0
822,12.0,34368475.0
823,4.0,34327391.0
824,6.0,34105207.0
827,13.0,33000000.0
828,14.0,32901136.0
830,3.0,32698899.0
831,5.0,32680633.0
833,5.0,32000301.0
834,16.0,31623833.0
835,8.0,31387164.0
836,9.0,31129082.0
837,1.0,31041759.0
838,9.0,31000000.0
839,8.0,30862156.0
840,11.0,30806194.0
841,6.0,30664106.0
842,19.0,30577969.0
843,2.0,30160161.0
845,3.0,29888235.0
847,2.0,29600000.0
849,4.0,29392418.0
850,4.0,29331068.0
851,9.0,29300090.0
853,5.0,29089912.0
854,13.0,29000301.0
855,8.0,29000000.0
856,1.0,28972764.0
857,19.0,28946127.0
858,11.0,28881266.0
859,1.0,28738096.0
860,13.0,28202109.0
861,2.0,28084357.0
863,5.0,28000000.0
864,2.0,27931461.0
865,2.0,27807627.0
866,6.0,27287137.0
867,3.0,27281507.0
869,13.0,26960191.0
870,8.0,26910736.0
871,10.0,26692846.0
872,4.0,26570463.0
873,2.0,26491793.0
875,9.0,26325256.0
877,8.0,25702053.0
878,5.0,25642000.0
879,5.0,25479558.0
880,5.0,25473352.0
881,2.0,25411386.0
883,13.0,25336794.0
885,12.0,24822619.0
886,4.0,24670346.0
887,5.0,24402491.0
888,8.0,24332324.0
889,13.0,24147179.0
890,8.0,24103594.0
891,5.0,24020403.0
892,6.0,24008137.0
894,9.0,23920048.0
895,7.0,23562716.0
896,4.0,23556988.0
897,6.0,23509382.0
898,18.0,23456945.0
899,1.0,23144499.0
900,5.0,23103423.0
901,9.0,23086480.0
902,3.0,23032565.0
904,4.0,22955097.0
905,5.0,22866222.0
906,1.0,22852487.0
907,7.0,22518097.0
908,6.0,22414961.0
909,11.0,22257624.0
911,5.0,21845719.0
912,5.0,21811187.0
913,6.0,21591728.0
914,4.0,21567853.0
915,9.0,21458229.0
916,4.0,21437192.0
917,13.0,21392758.0
918,6.0,21386011.0
919,13.0,21288692.0
921,10.0,21202099.0
922,5.0,21006361.0
924,9.0,20931111.0
927,2.0,20578909.0
928,4.0,20419446.0
929,3.0,20240128.0
930,7.0,20208496.0
931,2.0,20047604.0
932,1.0,20005435.0
933,2.0,20000000.0
937,5.0,19745922.0
938,1.0,19740070.0
939,16.0,19726050.0
940,6.0,19478106.0
942,1.0,19422319.0
943,5.0,19288130.0
944,8.0,19202743.0
945,5.0,19161999.0
946,3.0,19131246.0
948,6.0,18937262.0
950,6.0,600788188.0
951,9.0,402111870.0
952,6.0,352390543.0
953,16.0,329694499.0
954,2.0,322719944.0
955,3.0,319246193.0
956,2.0,318412101.0
957,4.0,317101119.0
958,8.0,312433331.0
959,17.0,257730019.0
960,19.0,245439076.0
961,5.0,238736787.0
962,12.0,234760478.0
963,4.0,234280354.0
964,23.0,228778661.0
965,6.0,217631306.0
966,7.0,217581231.0
967,7.0,216391482.0
968,2.0,215434591.0
969,4.0,215409889.0
970,5.0,212222025.0
971,11.0,209397903.0
972,33.0,202359711.0
973,3.0,198351526.0
974,9.0,197171806.0
975,2.0,191204754.0
976,14.0,188020017.0
977,3.0,182811707.0
979,11.0,180981856.0
980,1.0,180010950.0
981,14.0,179870271.0
982,4.0,176781728.0
983,8.0,176654505.0
984,4.0,174803506.0
985,9.0,165249063.0
986,10.0,161317025.0
987,11.0,159978870.0
988,2.0,158348367.0
989,3.0,158119460.0
990,15.0,156645693.0
991,5.0,155019340.0
993,1.0,152257509.0
994,6.0,150201498.0
995,5.0,149260504.0
996,5.0,148415853.0
997,3.0,140464664.0
998,6.0,134029801.0
999,7.0,133698921.0
1000,9.0,131772187.0
1001,3.0,131168070.0
1002,3.0,129795554.0
1003,9.0,128152301.0
1004,7.0,128012934.0
1005,5.0,127509326.0
1006,4.0,127004179.0
1007,2.0,126631277.0
1008,4.0,125618201.0
1009,6.0,125168368.0
1010,6.0,123477607.0
1011,8.0,122523060.0
1012,5.0,122187717.0
1013,5.0,122012643.0
1014,1.0,121697323.0
1015,6.0,118907036.0
1016,4.0,118634549.0
1017,2.0,118594548.0
1018,6.0,117229692.0
1019,27.0,116900694.0
1020,7.0,116741558.0
1021,3.0,113502426.0
1022,1.0,112276146.0
1023,3.0,110515313.0
1026,7.0,108423489.0
1027,15.0,107918810.0
1028,4.0,106614059.0
1029,2.0,106397186.0
1030,4.0,106128601.0
1031,3.0,105813373.0
1032,3.0,105489203.0
1033,4.0,104028807.0
1034,30.0,103412758.0
1035,3.0,103365956.0
1036,3.0,102705852.0
1037,16.0,102003019.0
1038,1.0,101440743.0
1039,19.0,101200044.0
1041,7.0,100618344.0
1042,1.0,100494675.0
1043,5.0,95673607.0
1044,2.0,94213184.0
1045,10.0,93772375.0
1046,8.0,93617009.0
1047,9.0,92921203.0
1048,3.0,92027888.0
1049,3.0,91057006.0
1050,5.0,90404800.0
1051,3.0,88715192.0
1053,7.0,86058055.0
1054,5.0,85417988.0
1055,2.0,84752907.0
1056,7.0,83823381.0
1057,6.0,83453539.0
1058,4.0,83351587.0
1059,3.0,82985708.0
1060,1.0,82670733.0
1061,2.0,82280579.0
1062,5.0,82258456.0
1063,12.0,81640278.0
1064,6.0,81298265.0
1066,7.0,81022101.0
1067,7.0,80936232.0
1068,6.0,80818974.0
1069,2.0,80209692.0
1070,1.0,80197993.0
1071,9.0,80070736.0
1072,2.0,80048433.0
1073,9.0,80035402.0
1074,4.0,79817937.0
1076,9.0,78868508.0
1077,5.0,78756177.0
1078,6.0,78122718.0
1079,7.0,77591831.0
1080,2.0,76507756.0
1082,4.0,76270454.0
1083,3.0,75671125.0
1084,17.0,75609945.0
1086,5.0,74494381.0
1087,1.0,74078174.0
1088,5.0,73864507.0
1089,1.0,73034460.0
1090,3.0,73026337.0
1091,6.0,73013910.0
1092,1.0,72778712.0
1094,5.0,71440011.0
1095,4.0,71195053.0
1096,3.0,71107711.0
1097,6.0,70662220.0
1098,2.0,70334258.0
1099,7.0,70278893.0
1100,2.0,70187658.0
1101,10.0,70136369.0
1102,5.0,68706993.0
1103,7.0,67264877.0
1104,4.0,66818548.0
1105,7.0,66666062.0
1106,1.0,65660196.0
1107,4.0,65500000.0
1108,11.0,64892670.0
1109,3.0,64665672.0
1110,1.0,64255312.0
1111,2.0,64186502.0
1113,6.0,63118386.0
1114,2.0,61363304.0
1115,1.0,61335230.0
1116,8.0,60864870.0
1117,5.0,60527873.0
1118,8.0,60328558.0
1119,2.0,60020107.0
1120,7.0,59650222.0
1121,1.0,59484742.0
1122,1.0,58169327.0
1123,13.0,57469467.0
1124,8.0,56631572.0
1125,4.0,56618055.0
1126,7.0,56116183.0
1127,7.0,55703475.0
1128,1.0,55591409.0
1129,6.0,54766923.0
1130,5.0,53900335.0
1131,4.0,53790451.0
1132,1.0,53672080.0
1133,6.0,53412862.0
1134,8.0,53261944.0
1135,2.0,52898073.0
1136,11.0,52894169.0
1137,2.0,52614445.0
1139,17.0,52067561.0
1140,4.0,52037603.0
1141,2.0,51401758.0
1143,19.0,50577412.0
1144,13.0,50504655.0
1145,3.0,50159144.0
1146,16.0,49875291.0
1147,2.0,49823037.0
1148,5.0,49797148.0
1149,10.0,49530280.0
1150,14.0,48919043.0
1151,2.0,48197805.0
1152,6.0,47542841.0
1153,5.0,47003582.0
1154,2.0,46918287.0
1155,3.0,46576136.0
1156,7.0,46212055.0
1157,4.0,45916769.0
1159,1.0,45172250.0
1160,6.0,44999621.0
1161,5.0,44527234.0
1162,3.0,44364244.0
1163,8.0,44114232.0
1164,3.0,43254409.0
1165,8.0,43046003.0
1166,2.0,43001500.0
1167,4.0,43000000.0
1169,6.0,41675994.0
1170,2.0,41230799.0
1171,1.0,41076018.0
1172,9.0,40471663.0
1173,6.0,40382659.0
1176,2.0,39754601.0
1177,2.0,39491975.0
1178,2.0,39402572.0
1179,4.0,38634938.0
1180,8.0,38619405.0
1181,3.0,38399961.0
1184,2.0,37762677.0
1185,9.0,37134215.0
1186,2.0,36989956.0
1187,6.0,36787257.0
1189,3.0,36605602.0
1190,5.0,36489888.0
1191,1.0,36300000.0
1192,3.0,36000000.0
1193,8.0,35659098.0
1194,12.0,35656131.0
1195,6.0,35649012.0
1198,7.0,34326249.0
1199,1.0,33956608.0
1200,8.0,33741133.0
1201,1.0,33602376.0
1202,2.0,33080084.0
1204,1.0,32868349.0
1205,4.0,32862104.0
1206,4.0,32786074.0
1207,5.0,32679899.0
1208,10.0,32462372.0
1209,5.0,32417995.0
1210,2.0,32235793.0
1211,2.0,32211330.0
1212,5.0,32078318.0
1213,2.0,32010860.0
1214,8.0,31853080.0
1215,2.0,31720158.0
1216,3.0,31186896.0
1217,2.0,30985352.0
1218,1.0,30636478.0
1219,1.0,30503151.0
1220,2.0,30331165.0
1221,1.0,30250745.0
1222,4.0,29916207.0
1224,3.0,29381494.0
1225,9.0,29200000.0
1226,3.0,28735315.0
1227,1.0,28544120.0
1229,2.0,28176497.0
1230,7.0,27734391.0
1231,3.0,27634716.0
1232,5.0,27476252.0
1234,5.0,26877589.0
1235,3.0,26850426.0
1236,6.0,26673242.0
1237,12.0,26570048.0
1238,1.0,26381221.0
1239,1.0,26255594.0
1240,12.0,26105286.0
1241,2.0,26079312.0
1242,10.0,26010864.0
1244,4.0,25662155.0
1245,2.0,25635682.0
1246,2.0,25477365.0
1247,1.0,25326071.0
1248,7.0,25317291.0
1249,3.0,25314189.0
1250,2.0,25198598.0
1251,1.0,25059640.0
1252,3.0,24689703.0
1253,7.0,24047675.0
1254,4.0,23712993.0
1255,2.0,23671186.0
1256,1.0,23369283.0
1257,6.0,23070663.0
1258,7.0,22773535.0
1259,7.0,22743674.0
1260,1.0,22738671.0
1261,4.0,22512655.0
1262,10.0,22490039.0
1263,13.0,22348241.0
1264,1.0,22026369.0
1265,11.0,22000000.0
1267,4.0,21722776.0
1268,8.0,21709020.0
1269,4.0,21440752.0
1271,8.0,21355893.0
1272,17.0,21274717.0
1273,8.0,20766616.0
1274,6.0,20563273.0
1275,6.0,20458340.0
1276,5.0,20324096.0
1277,6.0,20240502.0
1278,2.0,20146880.0
1279,13.0,19885552.0
1280,2.0,19870567.0
1281,19.0,19751736.0
1282,3.0,19739575.0
1283,8.0,19652638.0
1284,3.0,19481943.0
1286,1.0,19393557.0
1287,6.0,19265302.0
1290,6.0,19145198.0
1291,2.0,19104350.0
1292,5.0,19032261.0
1293,1.0,18912328.0
1295,13.0,18553948.0
1296,2.0,18450127.0
1297,9.0,18389402.0
1298,1.0,18306166.0
1299,3.0,18211013.0
1300,11.0,18137661.0
1301,68.0,17654912.0
1302,1.0,17519169.0
1303,3.0,17432844.0
1304,11.0,17323326.0
1306,1.0,16930185.0
1308,4.0,16820893.0
1309,1.0,16797191.0
1311,7.0,16324573.0
1312,5.0,16316273.0
1313,7.0,16311571.0
1314,1.0,16274150.0
1315,7.0,16123323.0
1316,5.0,16031707.0
1318,3.0,15700729.0
1321,11.0,15171476.0
1322,1.0,15122324.0
1323,4.0,15064946.0
1324,2.0,14990582.0
1325,2.0,14902041.0
1326,5.0,14867086.0
1327,8.0,14812144.0
1328,3.0,14796494.0
1329,6.0,14717854.0
1330,6.0,14715067.0
1331,6.0,14643997.0
1332,3.0,14587732.0
1333,2.0,14560084.0
1334,1.0,14500000.0
1335,36.0,424668047.0
1336,8.0,408010692.0
1337,17.0,337135885.0
1338,9.0,292324737.0
1339,9.0,150947895.0
1340,1.0,119194771.0
