,log_gross,version_count,release_width
0,18.908066389354047,7,3012.0
3,18.607498170826336,2,3358.0
4,18.57453505129421,5,3330.0
6,18.323184997536348,9,3674.0
8,17.858789466553368,10,3353.0
9,17.754888210111602,8,3020.0
10,17.624179344884933,26,3003.0
13,17.46716020375802,0,3305.0
14,17.457846681885822,11,3314.0
17,17.43718465810092,8,3138.0
18,17.39969805066596,6,2447.0
20,17.281739682859982,9,3402.0
21,17.26416216420677,5,2735.0
23,17.03590111504618,5,2629.0
24,17.02700391938393,9,2555.0
25,16.82437798642113,2,2323.0
28,16.688380549552335,10,3330.0
29,16.673053005220776,9,2313.0
31,16.59979190426374,5,1761.0
35,16.525296318777716,8,2424.0
37,16.48841919751693,20,1408.0
41,16.304084392071456,6,1541.0
42,16.21670637795932,0,522.0
45,16.088288601906086,13,450.0
48,16.032101937791342,10,354.0
51,15.909471185743312,10,396.0
52,15.868605429229008,16,2676.0
54,15.819328229096774,2,2319.0
56,15.59612380487927,6,2002.0
61,15.167070089294205,5,263.0
64,14.521242220714834,2,150.0
68,14.010291671107968,3,84.0
70,13.743444039087656,15,95.0
71,13.678833651966999,16,29.0
73,13.595530746742423,9,28.0
75,13.491984358603528,0,24.0
76,13.442312716815726,6,45.0
77,13.426380306674583,15,221.0
78,13.396938933485359,0,21.0
79,13.284097799256436,0,139.0
80,13.27702763961129,1,138.0
81,13.276722606912163,3,24.0
82,13.239644954017807,8,21.0
83,13.142179730096512,18,67.0
86,13.029489028553577,7,42.0
87,12.860881723321674,1,102.0
89,12.678261385681246,0,29.0
90,12.53969081316848,5,6.0
92,12.234373375176757,5,7.0
97,11.438772876436595,13,8.0
98,11.388631277698188,0,3.0
100,10.93544352356233,2,146.0
101,10.917358612749148,11,10.0
102,10.837598555980199,11,7.0
105,9.725436862592819,0,50.0
106,9.29228895462335,1,50.0
108,16.177882651479727,5,272.0
109,15.484718138610814,1,196.0
110,15.05119072850063,0,125.0
111,14.846869176143914,4,132.0
112,14.720819206912095,0,180.0
113,14.621170912821066,14,137.0
114,14.61480039822763,0,113.0
115,14.602919186783625,6,66.0
116,14.27289742959855,1,153.0
117,14.242472282594948,12,90.0
118,14.23063420518362,1,124.0
119,14.128146672245459,2,96.0
120,14.071568053430362,0,85.0
122,14.017013634174157,7,74.0
123,13.960082652118276,0,111.0
124,13.931092951761382,1,110.0
125,13.889172645011719,0,108.0
126,13.862530584936298,6,119.0
127,13.83269702098702,4,108.0
128,13.687578317930694,1,90.0
129,13.65062766002299,14,85.0
130,13.595808577644862,0,50.0
131,13.563675565641987,0,120.0
132,13.538374018735537,0,70.0
133,13.533503021502872,2,83.0
134,13.53261700224429,0,59.0
135,13.512410232784113,1,83.0
137,13.485291131715494,0,79.0
138,13.473735486132187,0,61.0
139,13.366319242188466,0,78.0
141,13.302462466345185,0,114.0
143,13.102474906423685,0,62.0
144,13.04664796015655,0,92.0
145,12.995722476436931,0,48.0
